the number of zero

[128]         max    min    avg
permutation:  16256  16256  16256
given1     :  16128  16128  16128
given2     :  15888  15872  15874.2
givenboth  :  15888  15872  15874.6

[256]         max    min    avg
permutation:  65280  65280  65280
given1     :  65024  65024  65024
given2     :  64520  64512  64513.9
givenboth  :  64528  64512  64514.5

[512]         max    min    avg
261632 261632 261632
261120 261120 261120
260104 260096 260097
260112 260096 260098


the number of non-zero

[128]         max    min    avg
128 128 128
256 256 256
496 512 509.76
496 512 509.4

[256]         max    min    avg
256 256 256
512 512 512
1016 1024 1022.08
1008 1024 1021.52

[512]         max    min    avg
512 512 512
1024 1024 1024
2040 2048 2046.76
2032 2048 2045.84


